,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
140,1972/06,DROUGHT,1,0,0,0,0,0,0,0,0,0,0,1000000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,DROUGHT,NATURAL DISASTERS
141,1972/06,FIRE,5,2,0,0,39,1,0,0,0,0,0,249000,0,5,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
142,1972/06,FLOOD,4,0,0,0,0,0,0,0,0,0,0,2000000,0,4,0,4,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
143,1972/07,FIRE,3,0,0,0,3,0,0,0,0,0,0,502085,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
146,1972/09,EPIDEMIC,1,0,109,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
147,1972/09,FIRE,2,0,0,0,2,1,0,0,0,0,0,41000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
149,1972/11,AVALANCHE,1,2,1,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,AVALANCHE,NATURAL DISASTERS
152,1972/12,FIRE,1,0,1,0,0,0,0,0,0,0,0,9000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
153,1973/07,ACCIDENT,1,5,1,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
154,1973/07,FIRE,2,0,2,0,7,0,0,0,0,0,0,2000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
156,1973/08,FIRE,1,0,0,0,4,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
157,1973/08,STRONGWIND,1,0,0,0,3,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
158,1973/09,FIRE,3,1,0,0,3,0,0,0,0,0,0,92300,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
160,1973/11,FIRE,1,0,0,0,1,0,0,0,0,0,0,40000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
161,1973/12,FIRE,2,0,0,0,0,0,0,0,0,0,0,20000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
163,1974/05,FIRE,2,0,0,0,0,0,0,0,0,0,0,38000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
164,1974/05,FLOOD,1,0,0,0,13,0,100,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
166,1974/07,FIRE,1,0,6,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
167,1974/08,ACCIDENT,2,1,2,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
